from_id,from_x,from_y,to_id,to_x,to_y,dist_um,base_root,series_id
106,1069.5905511811,55.9685039370079,80,1076.57754010695,41.5614973262032,8.00593301454788,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
176,609.367010309278,135.078350515464,189,589.773722627737,132.63503649635,9.87252127837196,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
196,740.230769230769,133.444444444444,228,730.780952380952,155.228571428571,11.8727337517066,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
199,949.619047619048,133.84126984127,174,953.886597938144,118.680412371134,7.87501722150173,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
276,810.467105263158,184.434210526316,252,825.45945945946,169.540540540541,10.5663627847115,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
317,450.290697674419,208.209302325581,322,460.509578544061,219.157088122605,7.48798270706919,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
318,907.661538461539,211.912820512821,301,922.134715025907,204.450777202073,8.14178927255639,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
412,669.557471264368,270.936781609195,427,690.21198156682,280.566820276498,11.3945868789511,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
472,451.565517241379,316.110344827586,495,450.33137829912,340.736070381232,12.3283155578151,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
536,673.139072847682,367.278145695364,517,671.876777251185,353.694312796209,6.82117853462877,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
592,620.792993630573,420.529117379436,574,622.809248554913,390.583815028902,15.0065520422317,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
668,707.980392156863,452.049019607843,645,685.438356164384,437.041095890411,13.5405055388868,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
703,688.171641791045,474.216417910448,683,676.672413793104,462.318965517241,8.27317378635987,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
835,726.145922746781,557.446351931331,860,708.486486486487,571.405405405406,11.2551195342774,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
874,724.35,586.21,860,708.486486486487,571.405405405406,10.8492751152292,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
893,752.971962616823,592.467289719626,857,751.757575757576,572.136363636364,10.183581035753,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
908,720.158054711246,607.343465045593,929,739.953488372093,612.441860465116,10.2207244077268,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
939,847.954022988506,615.701149425287,930,832.051823416507,629.170825335893,10.4200782190493,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
941,757.218181818182,618.206060606061,929,739.953488372093,612.441860465116,9.10076429554525,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
951,767.966309341501,643.102603369066,961,796.771929824562,627.71052631579,16.330032206246,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
959,871.086538461539,627.096153846154,924,876.910569105691,610.471544715447,8.80762399419961,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
988,847.408376963351,654.701570680628,987,871.447852760736,657.453987730061,12.0982663657556,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1010,793.953051643192,672.859154929578,1014,817.519230769231,671.480769230769,11.8032277972511,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1013,772,670.224489795918,1009,753.521885521886,676.117845117845,9.69758154924187,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1034,855,681,1033,836.402298850575,680.689655172414,9.30014518643852,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1049,773.22905027933,696.078212290503,1064,792.320388349515,702.145631067961,10.0161464637248,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1059,760.959183673469,695.571428571429,1009,753.521885521886,676.117845117845,10.4133965758187,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1099,798.617318435754,731.787709497207,1105,822,723,12.4897321362611,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1121,818.666666666667,733.060606060606,1105,822,723,5.29921940991816,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1184,827.283854166667,779.90625,1227,833.402985074627,797.865671641791,9.48662991763129,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1185,881.521126760563,776.056338028169,1160,873.683333333333,757.675,9.99130363758582,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1265,822.970588235294,815.764705882353,1234,818.391891891892,802.608108108108,6.96528041787171,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1354,841.228571428571,864.142857142857,1316,822.980088495575,850.825221238938,11.2956468985314,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1400,784.296703296703,889.120879120879,1399,766.619289340102,893.847715736041,9.14923423816839,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1408,993.283828382838,903.854785478548,1477,989.954545454546,928.090909090909,12.2318622107416,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1424,898.585714285714,899.071428571429,1397,890.418300653595,888.013071895425,6.87375257431937,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1498,857.732673267327,942.346534653465,1505,883.848314606742,948.410112359551,13.4051640904419,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1510,834.306220095694,953.736842105263,1534,825.166172106825,976.522255192878,12.2751326552108,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1521,1086.375,957.791666666667,1544,1066.21449851043,980.504468718967,15.1848378109388,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1531,937.244680851064,964.031914893617,1515,926.545454545455,953.242424242424,7.59747576585173,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1540,804.342105263158,969.394736842105,1518,804.6875,956.520833333333,6.43926799173262,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1556,845.383084577115,987.278606965174,1535,854.971590909091,969.0625,10.2927888184522,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1622,781.266666666667,1018.02222222222,1638,770.337837837838,1029.21621621622,7.82216084447601,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1628,841.557894736842,1024.30526315789,1632,825.507042253521,1025.43661971831,8.0453376732758,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1629,910.063829787234,1024.93617021277,1610,901.245454545455,1013.10909090909,7.37637354599549,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1636,755.410256410257,1025.84615384615,1615,746.650602409639,1015.18072289157,6.90077813832645,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1642,898.5,1028,1610,901.245454545455,1013.10909090909,7.5709427123522,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1659,848.324074074074,1041.8287037037,1699,870.174496644295,1055.80536912752,12.9690799872856,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1700,914.979166666667,1053.9375,1681,895.771689497717,1053.14611872146,9.61188669725858,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1759,872.051020408163,1094.89795918367,1745,859.916666666667,1084.91666666667,7.85602859328153,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
